,Pays,Annee,Type_contenu,Prox_moyenne,Moyenne,Ecart_type,prox_harmonisee
5243,Oman,2015,stats,-0.15309049095245922,-0.06736048771311623,0.06452418302500387,-0.6643245928904021
5244,Ouganda,2015,stats,-0.04085653495580446,-0.06736048771311623,0.06452418302500387,0.20537999486983954
5245,Ouzbékistan,2015,stats,-0.10488146657604246,-0.06736048771311623,0.06452418302500387,-0.29075128970161784
5246,Pakistan,2015,stats,-0.11343415166134528,-0.06736048771311623,0.06452418302500387,-0.35702632554351726
5247,Palaos,2015,stats,-0.12139271508906734,-0.06736048771311623,0.06452418302500387,-0.41869749327173184
5248,Palestine,2015,stats,-0.04229381198755204,-0.06736048771311623,0.06452418302500387,0.19424248824545798
5249,Panama,2015,stats,-0.08579591000538703,-0.06736048771311623,0.06452418302500387,-0.1428566889806792
5250,Papouasie-Nouvelle-Guinée,2015,stats,-0.10146172378388789,-0.06736048771311623,0.06452418302500387,-0.26425159120230185
5251,Paraguay,2015,stats,-0.08387475051533508,-0.06736048771311623,0.06452418302500387,-0.12796956139544904
5252,Pays-Bas,2015,stats,-0.11349404870306609,-0.06736048771311623,0.06452418302500387,-0.35749046967454484
5253,Philippines,2015,stats,-0.11673381353560157,-0.06736048771311623,0.06452418302500387,-0.38259551309121265
5254,Pologne,2015,stats,-0.036034008287283446,-0.06736048771311623,0.06452418302500387,0.24274991140680854
5255,Portugal,2015,stats,-0.09977891913811522,-0.06736048771311623,0.06452418302500387,-0.2512114830840746
5256,Pérou,2015,stats,-0.12437842104627718,-0.06736048771311623,0.06452418302500387,-0.44183382617231926
5257,Qatar,2015,stats,-0.09477115814749972,-0.06736048771311623,0.06452418302500387,-0.21240617974009474
5258,Roumanie,2015,stats,-0.1213349975261124,-0.06736048771311623,0.06452418302500387,-0.41825023799278804
5259,Royaume-Uni,2015,stats,-0.029949096720150926,-0.06736048771311623,0.06452418302500387,0.2899020897209032
5260,Russie,2015,stats,-0.060242448790518426,-0.06736048771311623,0.06452418302500387,0.05515791590758678
5261,Rwanda,2015,stats,-0.06973230593620476,-0.06736048771311623,0.06452418302500387,-0.018379296814726227
5262,République Dominicaine,2015,stats,-0.12896362049203097,-0.06736048771311623,0.06452418302500387,-0.47736468631491863
5263,République centrafricaine,2015,stats,0.0888060802500163,-0.06736048771311623,0.06452418302500387,1.2101398316241847
5264,République du Congo,2015,stats,0.1804264343867181,-0.06736048771311623,0.06452418302500387,1.92010894584914
5265,République démocratique du Congo,2015,stats,0.26017647746736694,-0.06736048771311623,0.06452418302500387,2.5380946323145133
5266,République tchèque,2015,stats,-0.09426028824076738,-0.06736048771311623,0.06452418302500387,-0.20844743216064557
5267,Saint-Kitts-et-Nevis,2015,stats,-0.11377422591546395,-0.06736048771311623,0.06452418302500387,-0.35966157203696675
5268,Saint-Marin,2015,stats,-0.12055717288896738,-0.06736048771311623,0.06452418302500387,-0.4122228494953342
5269,Saint-Vincent-et-les-Grenadines,2015,stats,-0.15437568330761245,-0.06736048771311623,0.06452418302500387,-0.6742835903925882
5270,Sainte-Lucie,2015,stats,-0.16648130445584733,-0.06736048771311623,0.06452418302500387,-0.7680904437358054
5271,Salomon,2015,stats,-0.16092922481480978,-0.06736048771311623,0.06452418302500387,-0.725067197405929
5272,Salvador,2015,stats,-0.08823520242312913,-0.06736048771311623,0.06452418302500387,-0.16175884553178846
5273,Samoa,2015,stats,-0.12269861451113989,-0.06736048771311623,0.06452418302500387,-0.4288169505112486
5274,Serbie,2015,stats,-0.11377788150927741,-0.06736048771311623,0.06452418302500387,-0.35968989935272716
5275,Seychelles,2015,stats,-0.1363280777579236,-0.06736048771311623,0.06452418302500387,-0.5344321060065311
5276,Sierra Leone,2015,stats,-0.008624620499704475,-0.06736048771311623,0.06452418302500387,0.4551461518749561
5277,Singapour,2015,stats,-0.10258749855169855,-0.06736048771311623,0.06452418302500387,-0.2729752566175959
5278,Slovaquie,2015,stats,-0.13055008672349286,-0.06736048771311623,0.06452418302500387,-0.4896582649166586
5279,Slovénie,2015,stats,-0.1397893455171007,-0.06736048771311623,0.06452418302500387,-0.5612535828304672
5280,Somalie,2015,stats,0.030477435932454503,-0.06736048771311623,0.06452418302500387,0.7581492632588419
5281,Soudan,2015,stats,-0.07294769529210945,-0.06736048771311623,0.06452418302500387,-0.043295453867491174
5282,Soudan du Sud,2015,stats,-0.05101761060392037,-0.06736048771311623,0.06452418302500387,0.12664148806706163
5283,Sri Lanka,2015,stats,-0.1476183923981479,-0.06736048771311623,0.06452418302500387,-0.6219211226117407
5284,Suisse,2015,stats,-0.09421798365310304,-0.06736048771311623,0.06452418302500387,-0.20811961253022926
5285,Suriname,2015,stats,-0.036693618258821885,-0.06736048771311623,0.06452418302500387,0.23763857221106213
5286,Suède,2015,stats,-0.03551732484464347,-0.06736048771311623,0.06452418302500387,0.2467537082657301
5287,Syrie,2015,stats,-0.023502012637578156,-0.06736048771311623,0.06452418302500387,0.3398607546766024
5288,São Tomé-et-Principe,2015,stats,-0.03376293969748966,-0.06736048771311623,0.06452418302500387,0.2603484960251812
5289,Sénégal,2015,stats,-0.005818649293594155,-0.06736048771311623,0.06452418302500387,0.47688971432365046
5290,Tadjikistan,2015,stats,-0.06957350951526516,-0.06736048771311623,0.06452418302500387,-0.017148778166562406
5291,Tanzanie,2015,stats,-0.10235717871146323,-0.06736048771311623,0.06452418302500387,-0.27119050065915107
5292,Tchad,2015,stats,-0.030868155002617467,-0.06736048771311623,0.06452418302500387,0.2827802770967093
5293,Thaïlande,2015,stats,-0.13555112673403102,-0.06736048771311623,0.06452418302500387,-0.5284114871666807
5294,Timor oriental,2015,stats,0.034231573600737183,-0.06736048771311623,0.06452418302500387,0.7872401985662127
5295,Togo,2015,stats,-0.005033663849839236,-0.06736048771311623,0.06452418302500387,0.4829725921452165
5296,Tonga,2015,stats,-0.060430255415185305,-0.06736048771311623,0.06452418302500387,0.05370259624399567
5297,Trinité-et-Tobago,2015,stats,-0.09033512876116252,-0.06736048771311623,0.06452418302500387,-0.17803124325606223
5298,Tunisie,2015,stats,-0.09940667837450037,-0.06736048771311623,0.06452418302500387,-0.24832697725878894
5299,Turkménistan,2015,stats,-0.08627749033741719,-0.06736048771311623,0.06452418302500387,-0.14658847068989933
5300,Turquie,2015,stats,0.018143336961195883,-0.06736048771311623,0.06452418302500387,0.6625719278086666
5301,Tuvalu,2015,stats,-0.0882672681800254,-0.06736048771311623,0.06452418302500387,-0.16200732412843988
5302,Ukraine,2015,stats,0.09787853147420997,-0.06736048771311623,0.06452418302500387,1.280442552238857
5303,Uruguay,2015,stats,-0.09314291044079068,-0.06736048771311623,0.06452418302500387,-0.19978883512313095
5304,Vanuatu,2015,stats,-0.09208994158088589,-0.06736048771311623,0.06452418302500387,-0.19162934506421186
